seq,recv_ts_ns,send_ts_ns
347,100282673019500,100282672995000
348,100282673226166,100282673200291
349,100282673426250,100282673401666
350,100282673636166,100282673611750
351,100282673850500,100282673826958
352,100282674066625,100282674040291
353,100282674270125,100282674244583
354,100282674485375,100282674460250
355,100282674699750,100282674674958
356,100282674901375,100282674877583
357,100282675128666,100282675103833
358,100282675338916,100282675313708
359,100282675537708,100282675514958
360,100282675741250,100282675715916
361,100282675956416,100282675930916
362,100282676157625,100282676133208
363,100282676362333,100282676334916
364,100282676563291,100282676537750
365,100282676790416,100282676746708
366,100282676986250,100282676951000
367,100282677188833,100282677162291
368,100282677391833,100282677362916
369,100282677605708,100282677576375
370,100282677812458,100282677784458
371,100282678032125,100282677999083
372,100282678236000,100282678204500
373,100282678431625,100282678405750
374,100282678638916,100282678611875
375,100282678856375,100282678828208
376,100282679062416,100282679029541
377,100282679270416,100282679241125
378,100282679482791,100282679456333
379,100282679683750,100282679659000
380,100282679886541,100282679859833
381,100282680108208,100282680071750
382,100282680299916,100282680273333
383,100282680511875,100282680485583
384,100282680713041,100282680685958
385,100282680918375,100282680891666
386,100282681133833,100282681106625
387,100282681345000,100282681317666
388,100282681559541,100282681532250
389,100282681764791,100282681743000
390,100282681978541,100282681956291
391,100282682193791,100282682167166
392,100282682409625,100282682382583
393,100282682609125,100282682583000
394,100282682824416,100282682798916
395,100282683040208,100282683014958
396,100282683246375,100282683218125
397,100282683459541,100282683431041
398,100282683665500,100282683642875
399,100282683868583,100282683844333
400,100282684087125,100282684060250
401,100282684300625,100282684275750
402,100282684506333,100282684480458
403,100282684759208,100282684700708
404,100282684945291,100282684905708
405,100282685184541,100282685133833
406,100282685375541,100282685340041
407,100282685573083,100282685549750
408,100282685798083,100282685762958
409,100282685988583,100282685963000
410,100282686190041,100282686165958
411,100282686397875,100282686372416
412,100282686610166,100282686583041
413,100282686833125,100282686799000
414,100282687037541,100282687013333
415,100282687249833,100282687217750
416,100282687458833,100282687426458
417,100282687687125,100282687650875
418,100282687914458,100282687865000
419,100282688109875,100282688079500
420,100282688317750,100282688290333
421,100282688524041,100282688490416
422,100282688727916,100282688690708
423,100282688936416,100282688909291
424,100282689135916,100282689112583
425,100282689345583,100282689321125
426,100282689551000,100282689524541
427,100282689757708,100282689731083
428,100282689975416,100282689947000
429,100282690186666,100282690159708
430,100282690398750,100282690372375
431,100282690602375,100282690573958
432,100282690813916,100282690789000
433,100282691018125,100282690989791
434,100282691222208,100282691194375
435,100282691434500,100282691409583
436,100282691650708,100282691622541
437,100282691848125,100282691823083
438,100282692073708,100282692036333
439,100282692268500,100282692245625
440,100282692484500,100282692459000
441,100282692698625,100282692675000
442,100282692903083,100282692877875
443,100282693104916,100282693079083
444,100282693308041,100282693281666
445,100282693516833,100282693496291
446,100282693736291,100282693711041
447,100282693936541,100282693911500
448,100282694153750,100282694127708
449,100282694357083,100282694331041
450,100282694561333,100282694533625
451,100282694776291,100282694749166
452,100282694986125,100282694963000
453,100282695196333,100282695167291
454,100282695420500,100282695377666
455,100282695604291,100282695578958
456,100282695802875,100282695779666
457,100282696006750,100282695981625
458,100282696217666,100282696194875
459,100282696421666,100282696395625
460,100282696625041,100282696596333
461,100282696859583,100282696812500
462,100282697039416,100282697013166
463,100282697254250,100282697228291
464,100282697454875,100282697429583
465,100282697669416,100282697644333
466,100282697884208,100282697857583
467,100282698086125,100282698060250
468,100282698292125,100282698265208
469,100282698491250,100282698465750
470,100282698703250,100282698678916
471,100282698914916,100282698889625
472,100282699129833,100282699104291
473,100282699331375,100282699305625
474,100282699541000,100282699515041
475,100282699751791,100282699726208
476,100282699961583,100282699938958
477,100282700205541,100282700159416
478,100282700391541,100282700368375
479,100282700598875,100282700572833
480,100282700802666,100282700776000
481,100282701016833,100282700990916
482,100282701223125,100282701198958
483,100282701429375,100282701402666
484,100282701644750,100282701620125
485,100282701884416,100282701834625
486,100282702087250,100282702051166
487,100282702279583,100282702251500
488,100282702485875,100282702452500
489,100282702675208,100282702652791
490,100282702878916,100282702854458
491,100282703077875,100282703054958
492,100282703293833,100282703268375
493,100282703496250,100282703469666
494,100282703708208,100282703684791
495,100282703921166,100282703894958
496,100282704132833,100282704098041
497,100282704347666,100282704307833
498,100282704553208,100282704520208
499,100282704759208,100282704735000
500,100282704976541,100282704948375
501,100282705199125,100282705154166
502,100282705386750,100282705363000
503,100282705604708,100282705579291
504,100282705811250,100282705788291
505,100282706027708,100282706004333
506,100282706252375,100282706220291
507,100282706462833,100282706436625
508,100282706674583,100282706649666
