seq,send_ts_ns,ack_recv_ts_ns,retransmits
418,100118553806250,100118553864041,0
419,100118554020000,100118554139458,0
420,100118554224291,100118554284041,0
421,100118554433458,100118554537583,0
422,100118554639583,100118554812791,0
423,100118554855291,100118554956416,0
424,100118555066166,100118555231875,0
425,100118555266958,100118555365541,0
426,100118555467791,100118555639125,0
427,100118555676125,100118555783500,0
428,100118555878583,100118556039541,0
429,100118556084333,100118556178166,0
430,100118556295583,100118556451041,0
431,100118556499791,100118556592500,0
432,100118556708833,100118556848500,0
433,100118556914333,100118556990958,0
434,100118557130041,100118557299583,0
435,100118557344833,100118557425083,0
436,100118557545291,100118557701791,0
437,100118557752416,100118557843333,0
438,100118557961250,100118558118458,0
439,100118558168083,100118558261708,0
440,100118558383916,100118558533541,0
441,100118558590708,100118558675708,0
442,100118558793166,100118558949041,0
443,100118558995666,100118559091333,0
444,100118559203541,100118559354500,0
445,100118559421333,100118559478250,0
446,100118559622875,100118559744458,0
447,100118559823833,100118559885250,0
448,100118560034833,100118560162833,0
449,100118560249375,100118560306250,0
450,100118560466375,100118560568166,0
451,100118560666666,100118560841833,0
452,100118560870041,100118560985833,0
453,100118561085625,100118561234708,0
454,100118561303791,100118561376875,0
455,100118561516958,100118561655791,0
456,100118561724208,100118561798833,0
457,100118561928833,100118562068666,0
458,100118562141500,100118562210958,0
459,100118562352125,100118562488166,0
460,100118562554583,100118562630875,0
461,100118562769541,100118562885375,0
462,100118562985208,100118563156833,0
463,100118563187250,100118563299541,0
464,100118563390541,100118563580708,0
465,100118563603500,100118563724958,0
466,100118563813583,100118563998708,0
467,100118564030125,100118564143000,0
468,100118564247416,100118564390291,0
469,100118564456791,100118564530833,0
470,100118564672125,100118564794708,0
471,100118564882500,100118565069291,0
472,100118565099666,100118565212333,0
473,100118565300041,100118565354833,0
474,100118565514666,100118565591791,0
475,100118565724916,100118565867666,0
476,100118565926583,100118566005208,0
477,100118566140916,100118566259083,0
478,100118566354833,100118566521875,0
479,100118566572166,100118566663541,0
480,100118566775583,100118566921541,0
481,100118566987666,100118567045625,0
482,100118567203750,100118567322416,0
483,100118567410625,100118567582041,0
484,100118567613625,100118567726291,0
485,100118567830291,100118567984166,0
486,100118568034541,100118568124375,0
487,100118568237250,100118568401625,0
488,100118568451458,100118568543333,0
489,100118568667875,100118568804000,0
490,100118568867958,100118568946833,0
491,100118569070958,100118569211333,0
492,100118569281250,100118569341333,0
493,100118569498625,100118569613916,0
494,100118569702166,100118569884333,0
495,100118569915458,100118570015875,0
496,100118570121208,100118570290666,0
497,100118570337000,100118570430375,0
498,100118570553875,100118570707041,0
499,100118570765875,100118570841250,0
500,100118570979958,100118571119375,0
501,100118571195708,100118571261458,0
502,100118571413958,100118571527166,0
503,100118571627875,100118571799458,0
504,100118571830083,100118571943333,0
505,100118572046750,100118572216666,0
506,100118572264250,100118572358583,0
507,100118572466083,100118572632791,0
508,100118572680166,100118572773750,0
509,100118572884041,100118573048458,0
510,100118573096041,100118573188166,0
511,100118573312041,100118573463125,0
512,100118573526500,100118573602708,0
513,100118573740916,100118573879000,0
514,100118573944208,100118574018208,0
515,100118574161125,100118574272125,0
516,100118574378750,100118574538375,0
517,100118574590000,100118574670541,0
518,100118574791416,100118574932541,0
519,100118575002083,100118575073666,0
520,100118575202666,100118575333375,0
521,100118575417333,100118575580458,0
522,100118575626875,100118575719291,0
523,100118575836750,100118575979125,0
524,100118576037708,100118576118375,0
525,100118576242583,100118576380125,0
526,100118576443916,100118576519916,0
527,100118576659541,100118576799666,0
528,100118576865250,100118576927458,0
529,100118577077125,100118577176125,0
530,100118577279875,100118577454916,0
531,100118577485541,100118577599583,0
532,100118577688125,100118577873666,0
533,100118577889000,100118578014000,0
534,100118578090791,100118578157416,0
535,100118578296041,100118578432250,0
536,100118578498583,100118578572250,0
537,100118578700041,100118578844791,0
538,100118578915083,100118578987958,0
539,100118579130541,100118579244166,0
540,100118579332125,100118579520666,0
541,100118579545375,100118579666041,0
542,100118579745500,100118579818208,0
543,100118579954583,100118580075916,0
544,100118580157875,100118580226541,0
545,100118580361500,100118580504208,0
546,100118580569250,100118580643583,0
547,100118580783583,100118580922041,0
548,100118580999875,100118581064625,0
549,100118581213833,100118581340125,0
550,100118581429375,100118581614875,0
551,100118581645375,100118581757875,0
552,100118581845500,100118582032333,0
553,100118582046750,100118582172541,0
554,100118582257250,100118582449375,0
555,100118582472125,100118582591083,0
556,100118582680166,100118582865541,0
557,100118582898916,100118582994916,0
558,100118583115916,100118583271166,0
559,100118583330708,100118583411750,0
560,100118583545291,100118583656250,0
561,100118583753250,100118583907041,0
562,100118583970625,100118584049791,0
563,100118584179208,100118584318083,0
564,100118584395958,100118584576708,0
565,100118584606958,100118584706000,0
566,100118584809500,100118584982083,0
567,100118585009833,100118585122791,0
568,100118585221750,100118585398625,0
569,100118585441416,100118585548333,0
570,100118585649333,100118585823833,0
571,100118585852875,100118585965958,0
572,100118586062333,100118586232583,0
573,100118586264958,100118586374166,0
574,100118586468916,100118586654708,0
575,100118586686916,100118586785125,0
576,100118586895041,100118587064750,0
577,100118587095458,100118587208833,0
578,100118587299916,100118587483750,0
579,100118587511916,100118587627750,0
580,100118587730541,100118587906375,0
581,100118587938041,100118588042875,0
582,100118588143958,100118588320666,0
